→ Saved as s_e79c04a3 (60 papers). Use: map --from s_e79c04a3 "your question"

id          | doi                            | pmid     | authors                                                      | title                                                        | pub_date
------------+--------------------------------+----------+--------------------------------------------------------------+--------------------------------------------------------------+---------
PMC10264896 | 10.1177/22799036231181716      | 37333028 | Roberta Montisci, Maria Francesca Marchetti, Massimo Rusc... | Non-invasive coronary flow velocity reserve assessment pr... | 2023    
PMC10266277 | 10.3389/fcvm.2023.1155914      | 37324629 | Melanie T. Chen, Joseph Chang, Ashley S. Manchanda, Galen... | Autoimmune rheumatic diseases in women with coronary micr... | 2023    
PMC10412671 | 10.1007/s11883-023-01116-z     | 37338666 | Paul Marano, Janet Wei, C. Noel Bairey Merz                  | Coronary Microvascular Dysfunction: What Clinicians and I... | 2023    
PMC10588388 | 10.20471/acc.2022.61.04.02     | 37868169 | Jasna Čerkez Habek, Mirna Vuković Bobić, Dubravko Habek, ... | CARDIOVASCULAR RISK IN WOMEN WITH PREECLAMPSIA               | 2022    
PMC10787608 | 10.17305/bb.2023.9535          | 37650466 | Aakash Choradia, Karoona Bai, Suha Soni, Nhan Nguyen, Shi... | Beyond hot flashes: Exploring the role of estrogen therap... | 2024    
PMC10856197 | 10.3390/jcm13030829            | 38337522 | Rebecca L. Kellner, Alon Harris, Lauren Ciulla, Giovanna ... | The Eye as the Window to the Heart: Optical Coherence Tom... | 2024    
PMC10876862 | 10.3389/fcvm.2024.1352675      | 38380176 | Andrew H. Nguyen, Madelyn Hurwitz, Scott A. Sullivan, Ant... | Update on sex specific risk factors in cardiovascular dis... | 2024    
PMC10945906 | 10.1016/j.ahjo.2023.100267     | 38511090 | Puja K. Mehta, Rebecca D. Levit, Malissa J. Wood, Niti Ag... | Chronic rheumatologic disorders and cardiovascular diseas... | 2023    
PMC10994862 | 10.1016/j.ahjo.2024.100379     | 38586431 | Sofy Landes, Haider Aldiwani, Louise Thomson, Janet Wei, ... | Pericardial fat volume is related to endothelial-mediated... | 2024    
PMC11198373 | 10.1016/j.jacadv.2023.100264   | 38938306 | Eva Prescott, Kira Bang Bove, Daria Frestad Bechsgaard, B... | Biomarkers and Coronary Microvascular Dysfunction in Wome... | 2023    
PMC11371758 | 10.3389/fcvm.2024.1372703      | 39234606 | Annagrazia Cecere, Martina Perazzolo Marra, Elisabetta Za... | Coronary microvascular dysfunction in autoimmune rheumati... | 2024    
PMC11449192 | 10.1159/000539102              | 38679011 | Lior Zornitzki, Aviel Shetrit, Ophir Freund, Shir Frydman... | Traditional Cardiovascular Risk Factors and Coronary Micr... | 2024    
PMC11490310 | 10.7759/cureus.69752           | 39429315 | Jomar N Machuca, Claudia P Rosales-Alvarez                   | Cardiovascular Disease in Women and the Role of Hormone R... | 2024    
PMC11681466 | 10.1161/JAHA.124.035852        | 39291500 | Natasha Cigarroa, Nida Latif, Marah Maayah, Arshjot Khokh... | Diagnostic Yield and Clinical Utility of Coronary Angiogr... | 2024    
PMC11847120 | 10.1016/j.ahjo.2025.100502     | 39995513 | Sakshi Shiromani, Ahmed AlBadri, Aaron Lindeke-Myers, Ari... | Reduced retinal microvascular density in women with coron... | 2025    
PMC11900469 | 10.3390/ijms26052105           | 40076726 | Jessica Cassavaugh, Maria Serena Longhi, Simon C. Robson     | Impact of Estrogen on Purinergic Signaling in Microvascul... | 2025    
PMC12078779 | 10.17179/excli2025-8285        | 40376434 | Vincenzo Scarica, Riccardo Rinaldi, Francesco Maria Anima... | Coronary microvascular dysfunction: pathophysiology, diag... | 2025    
PMC12088774 | 10.1016/j.ahjo.2025.100547     | 40391390 | Judy M. Luu, Janet Wei, Chrisandra Shufelt, Anum Asif, Be... | Refractory angina in women with ischemia and no obstructi... | 2025    
PMC12154064 | 10.3390/ijms26115078           | 40507889 | Wenhan Xia, Raouf A. Khalil                                  | Hormone Replacement Therapy and Cardiovascular Health in ... | 2025    
PMC12156203 | 10.3390/jcm14113663            | 40507425 | María Fasero, Pluvio J. Coronado                             | Cardiovascular Disease Risk in Women with Menopause          | 2025    
